incident_id,risk_exposure
124,13.0
14,12.0
16,10.0
41,9.0
1,12.0
4,7.5
70,8.0
6,14.0
10,6.5
68,10.0
17,5.0
18,10.0
34,8.5
11,10.0
22,8.0
36,10.0
38,8.0
39,10.0
55,10.5
23,9.0
72,7.0
63,9.0
64,8.0
66,7.0
67,8.5
81,10.0
84,9.0
97,8.5
101,12.0
12,8.0
13,15.0
19,11.5
47,9.5
8,7.5
30,9.0
33,8.0
26,5.5
20,9.5
44,6.5
59,9.0
60,12.0
61,6.0
74,10.0
75,10.0
76,12.0
77,9.0
80,9.0
95,16.0
99,14.0
103,12.0
105,9.5
32,5.5
37,8.5
48,10.0
49,11.0
51,12.0
45,12.0
53,12.0
54,11.5
40,13.0
106,15.0
108,10.0
112,13.5
113,11.0
114,10.0
115,11.0
116,10.0
65,7.0
82,9.0
83,10.0
87,10.5
88,11.0
92,9.0
125,11.0
132,12.5
122,10.0
123,8.0
93,17.0
25,9.5
71,8.5
89,13.0
94,9.0
102,10.0
118,11.0
120,9.0
121,11.0
128,8.5
145,8.5
146,15.0
152,15.0
153,9.5
154,12.0
127,11.5
129,10.0
135,8.0
142,11.0
143,13.5
131,11.0
155,9.0
156,8.5
162,11.5
139,9.0
140,10.0
164,10.0
160,10.0
147,9.5
148,10.5
149,9.5
151,10.0
58,12.0
360,8.0
273,11.0
414,9.0
452,7.5
454,9.0
435,7.0
281,14.0
349,14.0
490,8.0
520,7.5
574,9.5
410,10.0
244,11.5
594,8.0
545,9.0
457,7.0
519,11.0
501,13.5
290,10.0
329,8.0
245,9.5
489,13.5
412,9.0
509,7.5
474,11.0
510,9.5
339,8.0
554,9.5
341,7.5
367,9.0
313,7.0
576,10.5
254,9.5
220,11.5
294,9.5
456,10.0
354,8.0
214,14.5
547,7.0
526,7.5
619,9.0
564,6.0
323,9.5
614,8.0
393,13.0
583,13.0
603,13.5
355,8.0
